country,date,duration,genres,imdb,name
United States of America,"
                , 2022-10-19
            ","
                , 120
                min
            ","Fantasy,Adventure,Action",IMDB: N/A,Black Adam
United States of America,"
                , 2022-11-30
            ","
                , 45
                min
            ","Action & Adventure,Sci-Fi & Fantasy,Drama",IMDB: N/A,Willow
Japan,"
                , 2022-06-24
            ","
                , 45
                min
            ",Action,IMDB: N/A,GAME OF SPY
United States of America,"
                , 2022-07-10
            ","
                , N/A
                min
            ","Documentary,Crime",IMDB: N/A,Supreme Team
United Kingdom,"
                , 2022-05-17
            ","
                , 75
                min
            ",Documentary,IMDB: N/A,Tosh
Japan,"
                , 2022-08-25
            ","
                , 16
                min
            ","Action & Adventure,Animation,Drama",IMDB: N/A,Rilakkuma's Theme Park Adventure
United Kingdom,"
                , 2022-04-29
            ","
                , N/A
                min
            ",,IMDB: N/A,Richard Hammond's Crazy Contraptions
United States of America,"
                , 2022-10-06
            ","
                , N/A
                min
            ","Action,Animation,Science Fiction,Comedy,Adventure",IMDB: N/A,Spider-Man: Into the Spider-Verse 2
Czech Republic,"
                , 2022-04-01
            ","
                , 23
                min
            ",Documentary,IMDB: N/A,Czech It Out!
United States of America,"
                , 2022-03-06
            ","
                , 45
                min
            ",Documentary,IMDB: N/A,Something Bit Me!
United Kingdom,"
                , 2022-06-10
            ","
                , 88
                min
            ",,IMDB: N/A,My Name Is Leon
Mexico,"
                , 2022-03-20
            ","
                , 38
                min
            ","Drama,Comedy",IMDB: N/A,Amsterdam
United States of America,"
                , 2022-01-16
            ","
                , 45
                min
            ",Documentary,IMDB: N/A,Killer Relationship with Faith Jenkins
United Kingdom,"
                , 2021-12-23
            ","
                , N/A
                min
            ",Animation,IMDB: N/A,Babble Bop!
United States of America,"
                , 2022-02-08
            ","
                , 54
                min
            ",Comedy,IMDB: N/A,Ms. Pat: Y'all Wanna Hear Something Crazy?
India,"
                , 2021-12-10
            ","
                , 41
                min
            ","Crime,Mystery,Drama",IMDB: N/A,Aranyak
United States of America,"
                , 2021-12-11
            ","
                , 85
                min
            ","TV Movie,Comedy,Romance",IMDB: N/A,The Holiday Fix Up
United States of America,"
                , 2021-12-02
            ","
                , 47
                min
            ",Animation,IMDB: N/A,Mickey and Minnie Wish Upon a Christmas
United States of America,"
                , 2021-12-05
            ","
                , 85
                min
            ","TV Movie,Comedy,Romance",IMDB: N/A,A Furry Little Christmas
