Name,Release_Date,Genre,Cast,Duration,Country,IMDB
Masquerade,3/11/1988,"Drama,Romance,Thriller","RobLowe,KimCattrall,DanaDelany,DougSavant,MegTilly",91,UnitedStatesofAmerica,6
Madame Evening Glory,12/8/1976,Drama,"NaomiTani,YôkoYokota,ShinshôNakamaru,AkiraTakahashi,TamakiKatsura",70,Japan,4.6
Leonardo: The Works,10/29/2019,"Documentary,History","GlenMcCready,",102,UnitedKingdom,7.7
The Cousin,12/10/1997,Crime,"SamuelLeBihan,AlainChabat,PatrickTimsit,AgnèsJaoui,BéatriceMichel",112,France,6.4
Wayward,6/14/2022,"Drama,Thriller,Horror","MeganMcCormick,StephanieMoore,J.J.Green,DariusMcCrary,BartonFitzpatrick",75,UnitedStatesofAmerica,4.6
Thor: God of Thunder,7/8/2022,"Action,Fantasy","VernonWells,TylerChristopher,DanielO'Reilly,MyromKingery,VauneSuitt",90,UnitedStatesofAmerica,2.3
The Summoned,7/7/2022,"Thriller,Horror","EmmaFitzpatrick,J.QuintonJohnson,AngelaGulner,MarkMeir,SalvadorChacon",86,UnitedStatesofAmerica,4.3
The Laws of the Universe: The Age of Elohim,10/22/2021,Animation,"SatoshiTsuruoka,MikiItou,RyotaroOkiayu,SatomiArai,HirokiTakahashi",119,Japan,4.5
The Eden Theory,5/5/2021,"Horror,ScienceFiction","TrevorSnarr,CarelStruycken,JeffreyWeissman,LarryHankin,ChandraMichaels",107,UnitedStatesofAmerica,3.3
The Drover's Wife: The Legend of Molly Johnson,5/5/2022,"Western,Drama,Thriller","LeahPurcell,RobCollins,SamReid,VictoriaHaralabidou,JessicaDeGouw",109,Australia,6.1
Take the Night,7/8/2022,"Thriller,Crime","AshwinGore,BrennanKeelCook,RoyHuang,KelvinHanYee,BryanFitzgerald",82,UnitedStatesofAmerica,5.6
Rangers72,4/26/2022,Documentary,"DerekJohnston,JohnGreig,ArchieMacpherson,ColinStein,",102,UnitedStatesofAmerica,8
Orcus,7/5/2022,Horror,"RodGlenn,RossHeath,HelenCoverdale,",106,UnitedKingdom,4.2
Nude Tuesday,6/23/2022,"Comedy,Drama,Romance","JackievanBeek,DamonHerriman,JemaineClement,ChelsiePrestonCrayford,JodieRimmer",99,"NewZealand,Australia",5.7
Malicious Mind Games,6/24/2022,Thriller,"AprilHale,LauraAult,CharlesCoan,LiloGrunwald,RaianySilva",83,UnitedStatesofAmerica,4.9
Love Under the Lemon Tree,5/29/2022,"Family,Romance,TVMovie,Comedy","MaddisonBullock,CaseyO'Keefe,AnthonyCoons,",85,"Canada,UnitedStatesofAmerica",6.2
Josh Taylor: Portrait of a Fighter,6/21/2022,Documentary,"JoshTaylor,",58,N/A,7.5
Jailbreak Lovers,7/2/2022,"Drama,TVMovie,Thriller","CatherineBell,TomStevens,RomanPodhora,AshLee,KaylnMiles",85,Canada,6.2
Instant Karma,7/4/2022,"Fantasy,Drama,Comedy","StewJetson,ACLarkin,KarlHaas,NancyMercurio,KeeganLuther",101,UnitedStatesofAmerica,5.4
"Hello, Goodbye, and Everything in Between",7/6/2022,"Romance,Drama","DjoulietAmara,JordanFisher,SarahGrey,NicoHiraga,JenniferRobertson",83,UnitedStatesofAmerica,4.9
H.P. Lovecraft's Witch House,6/29/2022,Horror,"AndreaCollins,JulieAnnePrescott,JohnJohnson,ErinTrimble,ShondaLaverty",82,UnitedStatesofAmerica,2.8
Girl in the Picture,7/6/2022,"Crime,Documentary","SarahFrench,NatalieDeVincentiis,MarkChinnery,RobertChristopherSmith,MegSchimelpfenig",101,UnitedStatesofAmerica,7.2
Galaxy Games,7/4/2022,Fantasy,"SkyKing,JakeBrown,JakeWhite,",83,UnitedStatesofAmerica,2.2
